2025-07-18,022,02,202502202,Controller Xbox Series,15,29,VERO,14,lug-25
2025-07-18,023,01,202502301,PS5 Standard Disk,285,350,VERO,65,lug-25
2025-07-19,024,01,202502401,PS5 Slim Disk,245,385,VERO,140,lug-25
2025-07-19,024,02,202502402,PS5 FC25,5,10,VERO,5,lug-25
2025-07-20,025,01,202502501,PS5 Standard Disk,260,340,VERO,80,lug-25
2025-07-20,025,02,202502502,PS5 Forspoken,5,5,VERO,0,lug-25
2025-07-22,026,01,202502601,PS5 Slim Disk,310,400,VERO,90,lug-25
2025-07-22,027,01,202502701,PS5 Slim Digital,250,315,VERO,65,lug-25
2025-07-25,028,01,202502801,PS5 Slim Disk,320,405,VERO,85,lug-25
2025-07-26,029,01,202502901,PS5 Slim Disk,315,370,VERO,55,lug-25
2025-07-28,030,01,202503001,PS5 Slim Disk,285,0,FALSO,-285,lug-25
2025-07-29,032,01,202503201,PS5 Slim Disk,310,0,FALSO,-310,lug-25
2025-07-29,032,02,202503202,PS FC25,10,0,FALSO,-10,lug-25
2025-07-29,033,01,202503301,PS5 Slim Disk,355,0,FALSO,-355,lug-25
2025-07-29,033,03,202503303,PS5 FC24,5,0,FALSO,-5,lug-25
